,summarization
0,The hotel is heavily used by and geared to tour groups. There are a lot of arrivals and departures in the night and early morning. The food was good and the service very friendly and welcoming.
1,"The Ashok is reasonably close to the airport. Getting there is rather odd, you have to drive down a dirt track. Service in the restaurant was OK, as was the food."
2,useful stopover if visiting Delhi. good pool and excellent food. road works when i was there so getting to and from was a bit of a problem. taxi ride away from nightlife in delhi.
3,On a five star scale rating this hotel would qualify as a high end 3 star hotel. It's an older resort style hotel but has few amenities. We stayed in a room facing away from the street and did not have any complaints about the noise.
4,"The hotel is located near both the domestic and international airport. While the rate on the asiarooms website was fantastic, guests should be warned that this hotel charges astronomical rates for its taxi service. Food and drinks are also very expensive here."
5,The hotel was our first and last nights in India. There was no queue at check in and our room was super. The gift shop was small but pleasant (although they tried to sell us an elephant with its tusks missing)
6,"Really a good hotel. Food, services room ambience everthing was really great. Not very close to town but good place to stay."
7,"Hotel is overpriced and its directorial policy - greedy. Rates changed when we were there, but they still charged us for the higher rate quoted in our e-mails. Not once were we offered as much as a complimentary glass of water."
8,"The Ashok Country Resort is in Rajasthan, Agra and Delhi. Given the relatively high rates, I'd rate the resort as below average at best."
9,"The Ashok is basically a transit hotel used by holiday companies. It is set in tidy and secure grounds, a short ride from the airport. During my stay, I found the hotel staff to be polite and helpful."
10,"Ashok Country Resort promises more than the hotel can provide. The garden is very nice, but it isn't calm because of the traffic outside. The food in the restaurant is everage, the breakfast small."
11,Stayed 1 night at the beginning of the Kuoni Taj Tour. Was nice and close to the airport so the trip to and from was very easy. Rooms on the ground floor are not as nice as the rooms on the 2nd floor.
12,i was supposed to stay for 4 nights but ran after 3 could not take it anymore. The worst rooms i have ever stayed in. The only thing good was some of the foods served in the restaurant.
13,"The room was horrible, look 20 years old, not even a proper mattress on the bed, the bed sheets and towels were 10 years old...We ordered some room service at 01:30 am, big mistake, it took 1 hour for a club sandwich to arrive and it look like they went to buy it in a small food stall on the road side. When we checked out we where not asked how was our stay or gave any comment card or else, meaning that they don't care what you think."
14,"Great hotel, very close to Delhi International airport, ideal for a 1 night stay before an early flight. Large pool area is relaxing, and they served a good and varied snack menu since we didn't want to wait until the main restaurant opened at 7pm."
15,We stayed at the Ashok as part of a tour and found it to be a good hotel. Not as posh as some of the Hotels in town but we found this place ok.
16,"We booked our stay for only one night in this hotel. We reserved a pick up service and upon arrival at the airport, we didn't see any one so we called at the hotel. The hotel looks quite old and the room we got was not very clean."
17,Hotel in Inida is a good place to stay if you're flying the next day or wish to get away from the crowds. The well manicured gardens and the relaxed bar and restaurant were just what we needed.
18,Staff friendly but we encoutered a problem when they tried to charge us for our transfer to the airport which was sorted through kuoni!!!!but you expect these tryu ons in India.
