,summarization
0,"we spent two separate nights at this hotel as part of our tour of india. the hotel is heavily used by and geared to tour groups, but there are a lot of arrivals and departures in the night and early morning, which may be disturbing to individual travellers. we would not hesitate to return for an overnight stay."
1,"the hotel and rooms (although large) are characterless. service in the restaurant was OK, as was the food. when we arrived at midnight we were unable to get a beer - bar closed and no beers in mini-bar!"
2,road works when i was there so getting to and from was a problem but was over come. taxi ride away from nightlife in delhi is an excellent stopover if visiting Delhi. good pool and excellent food.
3,this hotel would qualify as a high end 3 star hotel. it's an older resort style hotel but has few amenities. the grounds are manicured and well kept and the pool was clean. if you are just looking for descent cardio equipment it should get the job done. The breakfast served was minimal but all you can eat. Overall our stay was pleasant and would consider staying again.
4,"this is one of the nicer hotels in Delhi and is conveniently located near both the domestic and international airport. hotel charges astronomical rates for its taxi service, so this certainly wouldn't suit the budget traveller."
5,"we stayed on our first and last nights in india, it was our airport hotel. the restaurant was quite convenient, when the buffet is on, that's what you have to have - otherwise you choose from a menu. we also enjoyed the breakfast, with plenty of choice available, and the gift shop was small but pleasant (although they did try to sell us an elephant with its tusks missing)."
6,"food,services room ambience everthing was really great. Not very close to town but good place to stay. good location to visit."
7,"the hotel is overpriced and its directorial policy - greedy. the rates changed when we were there, but they still charged us for the higher rate quoted in our e-mails."
8,"we (husband, wife and teenage daughter) stayed at the Ashok Country Resort for one night only. Probably the poorest value for money place we spent in during our two week holiday in Rajasthan, Agra and Delhi. given the relatively high rates, I'd rate the resort as below average at best."
9,the Ashok is a transit hotel used by holiday companies to accommodate travellers for one or two nights on their way in and out of india. the first floor rooms in the hotel are rather dark and dismal and in need of some refurbishment.
10,"the homepage of the Ashok Country Resort promises more than the hotel can provide. the garden is very nice, but it isn't calm because of traffic outside. it looks so nice from outside and in the lobby. but the room was not very clean and the beds were clammy. i was really disappointed."
11,the hotel seemed adequate for our hectic schedule as there was very little leisure time. grounds and pool seem nice but didn't have the time to explore that much. the food was reasonable for both dinner and breakfast.
12,i was supposed to stay for 4 nights but ran after 3 couldn't take it anymore. the worst rooms he has ever stayed in are motels with better service and rooms.
13,"we were arriving late from Bangkok with my girlfriend and on our way to Agra, so we thought we'll stay near by the airports. we had to look for the hotel driver in the line of all the other hotels driver at the exit gate for 30 minutes before the guy showed up, then it complained to us about the delay in addition of being plain rude...the room was horrible, look 20 years old, not even a proper mattress on the bed, the beds and towels were 10 years older...we ordered some room service at 0"
14,"great hotel, close to Delhi international airport, is ideal for a 1 night stay before an early flight. the main restaurant opened at 7pm, but it is not for light meals."
15,we found this Hotel good as part of the tour but for independant travellers would probably be too far out of town. evening meal was ok for one or two nights and breakfast was very good.
16,"we booked our stay for only one night in this hotel. we reserved a pick up service and upon arrival at the airport, we didn't see any one so the driver was upset and complaint and try to have an argument with us."
17,this hotel was a very welcome rest away from the hustle and bustle prior to leaving Delhi. the well manicured gardens and the relaxed bar and restaurant were just what we needed.
18,we arrived at this hotel on a kuoni golden triangle tour. if you drink wine the price is astronomical.staff friendly but they tried to charge us for our transfer to the airport which was sorted through kuni!!!!but you expect these tryu ons in india.food was good.i loved the omletts at breakfast.the rooms were very well decorated. overall this is an amazing hotel with truly lovely gardens and the lovelly swimming pool.
19,we booked this hotel as it was near the airport and was supposedly a very high standard. the manager greeted us an said 'any problems come and see me&quot; and charged the full amount of our stay on our credit card - very suspicious. there was no hot water in the room asked at reception and asked to wait an it would be fixed. an hour later the water was cold. I eventually lost my temper and called another hotel (the Raddison to stay there).
20,the hotel is on the outskirts of Delhi and is a great escape from the city. the pool was nice and the grounds were really well kept. we were generally pleased with this hotel.
21,the hotel was conveniently situated for the airport but a longish taxi ride from downtown Dehli. the pool was pleasant and the staff were fine.
22,"the hotel was conveniently situated for the airport but a longish taxi ride from downtown Dehli. the rooms were pleasantly decorated, clean and comfortable. The pool was lovely and very nice to sit beside with an cold beer. we phoned for radio cab to take us to the Sound and Light at the Red Fort (well worth seeing)"
23,a transit hotel in the suburbs can be hired for 1/2 day/night. the hotel is located right next to the busy road - 10 mins from the airport.Must request an 'quiet' room as this hotel's location is not bad for the locals and their need to blast their horn at every living thing they pass regardless of the time of night!
24,this hotel is the worst hotel I have ever stayed at. I had booked the room several months prior to the stay and had email confirmation of the exact cost. the bathroom had a strong smell of urine and the air conditioner made the smell even worse.
25,the pollution in the area near the hotel/airport is horrendous and it seems a losing battle at this hotel. the air quality really bothered me here and not elsewhere.the room was the bare essentials. it reminded me of Eastern Europe inthe 80s and the gift shop was not enticing. The hotel is not easily accessible to sights.
26,the owner of the hotel was in attendance and keen to speak to all the guests and made sure everything was up to standard. it had a lovely pool area and nice restaurant (it was upstairs and no lift but that was the only problem for one of our party who is less mobile)
27,"the staff put heaters in the rooms, the bathroom was a little old but clean all the same. the only problem was that they only put the hot water on at certain times of the day so its either cold or tepid showers overall."
28,"the hotel chosen, I suspect, because of its proximity to the airport. when we arrived, Delhi was very smoggy, but that atmosphere pervaded it. i couldn't help worrying about the athletes coming here for the Commonwealth Games, hope they clean up their air quality before then!"
29,"the hotel taxi was parked 10 minutes walk away and with paying the carpark it took 40 minutes before we arrived. my flight was delayed, ended up staying for 3 hours.a good advise for whn you tay shortly, ask or you can nagociate the price."
30,"we arrived around ten in the evening and they had the correct rooms (twin beds, non-smoking) ready. they let us have tea and toast before we left which was nice of them. we used the half day rate that day and it was great to come back from the long trip to Agra and shower and change before our flight to the us."
31,on a recent trip to india we stayed at the Ashok Country Resort for our final night before flying home to the uk. the hotel was by far the worst place to stay in and the service from the reception was nothing short of rude and prices for drinks and food were 5 star hotel prices. Earlier in our trip in Delhi we were able to hire an air conditioned taxi for the price this hotel charged for an airport transfer.
32,we used the Ashok for a first night in india and were very satisfied. the hotel was comfortable and clean and the pool was good - we got over any jet lag. it seems to be good value for Delhi.
33,"the hotel provides a well signed, adequate and reliable transfer for IGI Airport to hotel, transfer time 15 mins. the rooms are big, clean and fairly comfortable. Feeding arrangements are good, but beware hordes of French groups on tour, and Kazak aircrews on layover."
34,"privately owned and operated, this full service hotel is located between city and airport and caters to Indian businessmen and European tour groups. Upon arrival one can not help but be impressed by the beautiful marble floor and stair case of the two story lobby with its massive crystal chandelier. the owner's son sits on a desk in the lobby and is very accommodating, as is the staff."
35,"hotel rates go in delhi, we paid £75.00 per room per night, and that included b/fast and airport pickup and drop. hotel is in a quiet location near the airport,rooms are big and comfortable,staff are polite and nvery helpful,food is not bad either."
36,we stayed here two nights in late march 2007. the hotel is fenced off and so it feels insulated from the hubbub and traffic. they let us take the salwar tops back to our room to try them on. bottled water to take with us on our next leg (8-hour drive to Nainital)
37,"the Reception staff were aloof and not very welcoming esp. as we were there on the first night of our tour. the room was fine with clean crisp bedding and a descent size, though the view was of 'a wall &amp; the window didn't quiet fit the frame'"
38,"stayed here on 1st and 7th day of the Kuoni Taj Tour. it's mainly clean, everything worked in the bedroom, although we had a very noisy fridge."
39,"when we arrived in Dehli we went straight to the hotel. the room was cold and the bed damp, we had to request an additional heater in our room! breakfast the following morning was okay. staff were helpful and polite. this is an average tourist hotel. good value for money."
40,"staff were pleasant and helpful, but they were booked solid. the rooms were clean and quiet, bathroom clean, adequate and good varied buffet breakfast. nice gardens, and the pool looked nice, though it was too cool to try it in December."
41,"we decided to stay in the Ashok after checking lots of reviews. the dew-smell smell outside was damp, but the rooms cannot be opened and are only airconditioned, and the smell was outside damp. there was a huge cloud over Delhi and no fresh air outside the garden. The people at the reception very polite and gave us our call to the airline free."
42,we stayed at the Ashok Country Resort for the first and last night of our Golden Triangle tour and again for a final night after our extention to Shimla. the room was OK the second stay was not so nice but had better view over the garden. it also had information about the Beauty Shop..we walked to the local village.... took 20 minutes not 5 as reception told us...BIG mistake.
43,"this was the most disappointing hotel we stayed in in India. the room was not cleaned properly, smelt a bit damp, no information in room about hotel facilities, poor outlook onto courtyard and no hairdryer in the rooms. only redeeming features were friendly staff, nice grounds and near the airport, suggest try elsewhere."
44,"room was lovely, with a large screen plasma! very clean. far too expensive for what it was (I paid £76) the grounds are very nice but the buffet restuarant is terrible. good for the airport and the atmosphere feels very relaxed - the chicken I had was hardly cooked and they didn't really seem to care."
45,the hotel staff were all very friendly and they even agreed to hold one of our bags for us while we did our golden triangle tour. the only downside is the distance to the city - it is about 45-60 minutes and costs about $25 by taxi. it may not be the best place to stay for your entire journey if you plan to go in and out of Dehli everyday.
46,"the hotel is comfortable near the both airports, nice when you arrive in the middle of the night and need sleep. the rooms have a good size; on the bathrooms you see the complex is older, but we have no complaints about it."
47,"stayed here for one night only as it's convenient fot the airport and we were flying home next day. helpful staff, comfortable room and good food."
48,a transit airport hotel would lower the room price by about one third. they also tried to overcharge us for the rooms until we showed them their email including the price.
